Date,Close,Open,High,Low,Volume
2018-01-06,14328.90,14203.20,14429.40,14102.60,25470000
2018-01-08,13232.80,13162.50,13426.40,13127.30,18780000
2018-01-10,14922.10,14886.90,15115.70,14799.00,18660000
2018-01-11,13936.70,14042.30,14059.90,13866.30,6140000
2018-02-04,14831.70,15208.70,15233.90,14831.70,23360000
2018-02-05,13675.30,13675.30,13926.70,13398.80,16090000
2018-02-07,13514.40,13373.60,13549.60,13021.70,17040000
2018-02-08,13109.70,13197.60,13197.60,12845.70,16630000
2018-02-10,14535.00,14693.40,14799.00,14482.20,29030000
2018-02-11,14077.50,14077.50,14130.30,14007.10,9840000
2018-03-04,14706.00,14831.70,14957.30,14454.60,24340000
2018-03-05,13650.10,13650.10,13700.40,13423.90,20410000
2018-03-07,12775.30,13514.40,13655.20,12775.30,15940000
2018-03-08,12775.30,13197.60,13215.20,12775.30,16290000
2018-03-10,14535.00,14429.40,14640.60,14429.40,13670000
2018-03-12,12247.40,11965.90,12317.80,11965.90,10320000
2018-03-29,15284.10,15083.00,15384.70,15032.80,14120000
2018-03-30,15183.60,15384.70,15409.80,15108.20,9880000
2018-04-04,14831.70,14831.70,14907.10,14706.00,11150000
2018-04-05,13574.70,13775.80,13901.50,13549.60,9960000
2018-04-06,15083.00,14555.10,15083.00,14404.30,21640000
2018-04-07,13056.90,12951.30,13180.10,12740.10,10320000
2018-04-09,13725.60,13971.90,14042.30,13725.60,12250000
2018-04-10,14570.20,14499.80,14570.20,14394.20,3260000
2018-04-12,12177.00,12317.80,12388.20,12053.90,1180000
2018-04-13,15384.70,15585.80,15610.90,15309.30,12550000
2018-04-16,15108.20,15208.70,15334.40,15108.20,8350000
2018-04-17,15007.60,15183.60,15183.60,14831.70,12910000
2018-04-18,14831.70,15057.90,15133.30,14831.70,10570000
2018-04-19,14328.90,14731.10,14856.80,14328.90,19620000
2018-04-20,14781.40,14328.90,14781.40,14127.80,12640000
2018-04-23,13976.90,14806.50,14806.50,13951.80,10820000
2018-04-24,14077.50,13951.80,14303.70,13826.10,1460000
2018-04-26,13449.00,14077.50,14278.60,13348.50,17830000
2018-04-27,13524.50,13449.00,13574.70,13021.70,19680000
2018-05-04,14781.40,14907.10,14932.20,14731.10,8010000
2018-05-06,14831.70,15083.00,15133.30,14706.00,23470000
2018-05-07,12704.90,13056.90,13197.60,12599.40,11630000
